"","Gene","female","male","total","male_ratio","female_ratio","p_value"
"1","A1BG",12,26,38,0.684210526315789,0.315789473684211,1
"2","A1CF",46,87,133,0.654135338345865,0.345864661654135,0.74233
"3","A2M",80,112,192,0.583333333333333,0.416666666666667,0.71711
"4","A2ML1",66,145,211,0.687203791469194,0.312796208530806,0.81929
"5","A3GALT2",7,6,13,0.461538461538462,0.538461538461538,1
"6","A4GALT",20,19,39,0.487179487179487,0.512820512820513,0.3338
"7","A4GNT",20,28,48,0.583333333333333,0.416666666666667,0.15236
"8","AAAS",24,17,41,0.414634146341463,0.585365853658537,0.07271
"9","AACS",23,43,66,0.651515151515151,0.348484848484849,0.58325
"10","AADAC",17,39,56,0.696428571428571,0.303571428571429,0.44817
"11","AADACL2",26,51,77,0.662337662337662,0.337662337662338,0.78105
"12","AADACL3",23,39,62,0.629032258064516,0.370967741935484,1
"13","AADACL4",27,44,71,0.619718309859155,0.380281690140845,1
"14","AADAT",10,22,32,0.6875,0.3125,1
"15","AAGAB",13,14,27,0.518518518518518,0.481481481481481,0.18167
"16","AAK1",21,34,55,0.618181818181818,0.381818181818182,1
"17","AAMDC",3,3,6,0.5,0.5,1
"18","AAMP",13,20,33,0.606060606060606,0.393939393939394,1
"19","AANAT",8,9,17,0.529411764705882,0.470588235294118,1
"20","AAR2",10,27,37,0.72972972972973,0.27027027027027,0.73696
"21","AARD",15,12,27,0.444444444444444,0.555555555555556,0.54009
"22","AARS1",23,41,64,0.640625,0.359375,0.77
"23","AARS2",46,43,89,0.48314606741573,0.51685393258427,0.77
"24","AASDH",39,70,109,0.642201834862385,0.357798165137615,0.75
"25","AASDHPPT",16,15,31,0.483870967741935,0.516129032258065,0.53
"26","AASS",43,79,122,0.647540983606557,0.352459016393443,0.62
"27","AATF",17,24,41,0.585365853658537,0.414634146341463,0.41
"28","AATK",23,40,63,0.634920634920635,0.365079365079365,0.65
"29","ABAT",30,37,67,0.552238805970149,0.447761194029851,0.06
"30","ABCA1",79,135,214,0.630841121495327,0.369158878504673,0.97
"31","ABCA10",67,143,210,0.680952380952381,0.319047619047619,0.4
"32","ABCA12",151,270,421,0.641330166270784,0.358669833729216,0.47
"33","ABCA13",248,427,675,0.632592592592593,0.367407407407407,0.71
"34","ABCA2",65,119,184,0.646739130434783,0.353260869565217,0.88
"35","ABCA3",39,87,126,0.69047619047619,0.30952380952381,0.9
"36","ABCA4",93,177,270,0.655555555555556,0.344444444444444,0.52
"37","ABCA5",79,103,182,0.565934065934066,0.434065934065934,0.66
"38","ABCA6",75,132,207,0.63768115942029,0.36231884057971,0.61
"39","ABCA7",66,103,169,0.609467455621302,0.390532544378698,0.69
"40","ABCA8",69,142,211,0.672985781990521,0.327014218009479,0.56
"41","ABCA9",88,147,235,0.625531914893617,0.374468085106383,0.9
