"","Gene","female","male","total","male_ratio","female_ratio","p_value"
"42","ABCB1",109,182,291,0.625429553264605,0.374570446735395,1
"43","ABCB10",33,43,76,0.565789473684211,0.434210526315789,0.66
"44","ABCB11",65,121,186,0.650537634408602,0.349462365591398,0.36
"45","ABCB4",63,110,173,0.635838150289017,0.364161849710983,0.85
"46","ABCB5",118,188,306,0.61437908496732,0.38562091503268,0.61
"47","ABCB6",23,41,64,0.640625,0.359375,1
"48","ABCB7",41,23,64,0.359375,0.640625,0.54
"49","ABCB8",32,46,78,0.58974358974359,0.41025641025641,0.35
"50","ABCB9",23,26,49,0.530612244897959,0.469387755102041,0.52
"51","ABCC1",67,75,142,0.528169014084507,0.471830985915493,0.15
"52","ABCC10",57,70,127,0.551181102362205,0.448818897637795,0.17
"53","ABCC11",88,94,182,0.516483516483517,0.483516483516484,0.64
"54","ABCC12",62,118,180,0.655555555555556,0.344444444444444,0.28
"55","ABCC2",65,68,133,0.511278195488722,0.488721804511278,0.09
"56","ABCC3",54,92,146,0.63013698630137,0.36986301369863,0.94
"57","ABCC4",70,85,155,0.548387096774194,0.451612903225806,0.02
"58","ABCC5",66,81,147,0.551020408163265,0.448979591836735,0.08
"59","ABCC6",46,101,147,0.687074829931973,0.312925170068027,0.92
"60","ABCC8",76,132,208,0.634615384615385,0.365384615384615,0.44
"61","ABCC9",108,189,297,0.636363636363636,0.363636363636364,0.68
"62","ABCD1",41,20,61,0.327868852459016,0.672131147540984,0.33
"63","ABCD2",40,91,131,0.694656488549618,0.305343511450382,0.74
"64","ABCD3",22,31,53,0.584905660377358,0.415094339622642,0.64
"65","ABCD4",30,25,55,0.454545454545455,0.545454545454545,0.32
"66","ABCE1",22,42,64,0.65625,0.34375,0.86
"67","ABCF1",21,44,65,0.676923076923077,0.323076923076923,0.68
"68","ABCF2",11,28,39,0.717948717948718,0.282051282051282,0.69
"69","ABCF2-H2BE1",1,1,2,0.5,0.5,1
"70","ABCF3",24,52,76,0.684210526315789,0.315789473684211,0.51
"71","ABCG1",39,38,77,0.493506493506494,0.506493506493506,0.01
"72","ABCG2",41,56,97,0.577319587628866,0.422680412371134,0.39
"73","ABCG4",31,63,94,0.670212765957447,0.329787234042553,0.8
"74","ABCG5",22,40,62,0.645161290322581,0.354838709677419,0.95
"75","ABCG8",38,67,105,0.638095238095238,0.361904761904762,0.9
"76","ABHD1",12,16,28,0.571428571428571,0.428571428571429,1
"77","ABHD10",17,18,35,0.514285714285714,0.485714285714286,0.37
"78","ABHD11",9,14,23,0.608695652173913,0.391304347826087,1
"79","ABHD12",14,15,29,0.517241379310345,0.482758620689655,0.47
"80","ABHD12B",12,14,26,0.538461538461538,0.461538461538462,0.7
"81","ABHD13",9,22,31,0.709677419354839,0.290322580645161,0.21
"82","ABHD14A",1,1,2,0.5,0.5,1
"83","ABHD14A-ACY1",8,19,27,0.703703703703704,0.296296296296296,1
"84","ABHD14B",0,6,6,1,0,1
"85","ABHD15",11,21,32,0.65625,0.34375,0.59
"86","ABHD16A",18,36,54,0.666666666666667,0.333333333333333,0.35
"87","ABHD16B",10,11,21,0.523809523809524,0.476190476190476,1
"88","ABHD17A",4,11,15,0.733333333333333,0.266666666666667,0.71
"89","ABHD17B",9,16,25,0.64,0.36,1
"90","ABHD17C",4,8,12,0.666666666666667,0.333333333333333,1
"91","ABHD18",10,16,26,0.615384615384615,0.384615384615385,1
"92","ABHD2",10,34,44,0.772727272727273,0.227272727272727,0.41
"93","ABHD3",9,25,34,0.735294117647059,0.264705882352941,0.36
"94","ABHD4",12,17,29,0.586206896551724,0.413793103448276,0.76
"95","ABHD5",7,15,22,0.681818181818182,0.318181818181818,0.27
"96","ABHD6",11,13,24,0.541666666666667,0.458333333333333,0.12
"97","ABHD8",13,21,34,0.617647058823529,0.382352941176471,1
"98","ABI1",14,18,32,0.5625,0.4375,1
"99","ABI2",14,28,42,0.666666666666667,0.333333333333333,0.61
"100","ABI3",13,22,35,0.628571428571429,0.371428571428571,1
"101","ABI3BP",55,91,146,0.623287671232877,0.376712328767123,1
"102","ABITRAM",3,7,10,0.7,0.3,1
"103","ABL1",43,64,107,0.598130841121495,0.401869158878505,0.79
"104","ABL2",48,90,138,0.652173913043478,0.347826086956522,0.39
"105","ABLIM1",32,50,82,0.609756097560976,0.390243902439024,0.8
"106","ABLIM2",34,35,69,0.507246376811594,0.492753623188406,0.11
"107","ABLIM3",35,49,84,0.583333333333333,0.416666666666667,0.76
"108","ABO",15,19,34,0.558823529411765,0.441176470588235,1
"109","ABR",30,40,70,0.571428571428571,0.428571428571429,0.53
"110","ABRA",27,48,75,0.64,0.36,0.66
"111","ABRACL",4,6,10,0.6,0.4,1
"112","ABRAXAS1",13,10,23,0.434782608695652,0.565217391304348,0.27
"113","ABRAXAS2",16,23,39,0.58974358974359,0.41025641025641,0.82
"114","ABT1",10,29,39,0.743589743589744,0.256410256410256,0.67
"115","ABTB1",21,24,45,0.533333333333333,0.466666666666667,0.17
"116","ABTB2",23,26,49,0.530612244897959,0.469387755102041,0.96
"117","AC002094.3",1,1,2,0.5,0.5,1
"118","AC004076.1",1,1,2,0.5,0.5,1
"119","AC004593.2",22,27,49,0.551020408163265,0.448979591836735,0.78
"120","AC004832.3",4,10,14,0.714285714285714,0.285714285714286,1
"121","AC004922.1",28,31,59,0.525423728813559,0.474576271186441,0.24
"122","AC004997.1",3,4,7,0.571428571428571,0.428571428571429,1
"123","AC005324.2",17,13,30,0.433333333333333,0.566666666666667,0.55
"124","AC005833.1",9,25,34,0.735294117647059,0.264705882352941,0.46
"125","AC005863.1",18,14,32,0.4375,0.5625,0.59
"126","AC006059.2",27,57,84,0.678571428571429,0.321428571428571,0.7
"127","AC007040.2",5,4,9,0.444444444444444,0.555555555555556,0.43
"128","AC008397.2",29,46,75,0.613333333333333,0.386666666666667,0.99
"129","AC008676.3",4,26,30,0.866666666666667,0.133333333333333,0.92
"130","AC008763.3",2,1,3,0.333333333333333,0.666666666666667,1
"131","AC008764.4",1,0,1,0,1,1
"132","AC008878.1",2,1,3,0.333333333333333,0.666666666666667,1
"133","AC009779.3",1,2,3,0.666666666666667,0.333333333333333,1
"134","AC010132.3",0,1,1,1,0,1
"135","AC011448.1",20,16,36,0.444444444444444,0.555555555555556,0.06
"136","AC011455.2",10,21,31,0.67741935483871,0.32258064516129,0.8
"137","AC011462.1",27,29,56,0.517857142857143,0.482142857142857,0.67
"138","AC011479.1",0,3,3,1,0,1
"139","AC012485.1",0,1,1,1,0,1
"140","AC013477.1",4,19,23,0.826086956521739,0.173913043478261,0.4
"141","AC013489.1",27,31,58,0.53448275862069,0.46551724137931,0.82
"142","AC016747.4",1,4,5,0.8,0.2,1
"143","AC018630.4",9,7,16,0.4375,0.5625,1
"144","AC018755.2",1,1,2,0.5,0.5,1
"145","AC019068.1",0,1,1,1,0,1
"146","AC020765.6",1,1,2,0.5,0.5,1
"147","AC020907.6",1,5,6,0.833333333333333,0.166666666666667,1
"148","AC021218.1",0,1,1,1,0,1
"149","AC023055.1",8,11,19,0.578947368421053,0.421052631578947,0.45
"150","AC023469.1",0,2,2,1,0,1
"151","AC024592.3",1,1,2,0.5,0.5,1
"152","AC024598.1",2,16,18,0.888888888888889,0.111111111111111,1
"153","AC024940.1",38,92,130,0.707692307692308,0.292307692307692,0.4
"154","AC025165.3",2,0,2,0,1,1
"155","AC026786.1",0,1,1,1,0,1
"156","AC053503.6",0,1,1,1,0,1
"157","AC055839.2",0,1,1,1,0,1
"158","AC064805.2",0,2,2,1,0,1
"159","AC068580.4",14,22,36,0.611111111111111,0.388888888888889,1
"160","AC073140.1",0,1,1,1,0,1
"161","AC073310.1",43,63,106,0.594339622641509,0.405660377358491,0.43
"162","AC074085.2",9,20,29,0.689655172413793,0.310344827586207,0.87
"163","AC079612.1",0,3,3,1,0,1
"164","AC083849.1",0,1,1,1,0,1
"165","AC090517.4",21,40,61,0.655737704918033,0.344262295081967,0.67
"166","AC091959.1",1,2,3,0.666666666666667,0.333333333333333,1
"167","AC092143.1",13,36,49,0.73469387755102,0.26530612244898,0.48
"168","AC092442.1",0,2,2,1,0,1
"169","AC092675.1",0,1,1,1,0,1
"170","AC092687.1",1,0,1,0,1,1
"171","AC092718.8",2,3,5,0.6,0.4,1
"172","AC092718.9",1,1,2,0.5,0.5,1
"173","AC093155.3",1,3,4,0.75,0.25,1
"174","AC093246.1",1,1,2,0.5,0.5,1
"175","AC093512.2",0,1,1,1,0,1
"176","AC093525.2",6,8,14,0.571428571428571,0.428571428571429,0.34
"177","AC093827.5",4,5,9,0.555555555555556,0.444444444444444,1
"178","AC097636.1",12,14,26,0.538461538461538,0.461538461538462,1
"179","AC097637.1",6,4,10,0.4,0.6,1
"180","AC098582.1",26,54,80,0.675,0.325,0.81
"181","AC099552.1",0,1,1,1,0,1
"182","AC100868.1",32,67,99,0.676767676767677,0.323232323232323,0.47
"183","AC104389.6",2,7,9,0.777777777777778,0.222222222222222,1
"184","AC104452.1",4,13,17,0.764705882352941,0.235294117647059,1
"185","AC105001.2",8,6,14,0.428571428571429,0.571428571428571,0.56
"186","AC107871.1",0,4,4,1,0,1
"187","AC107959.5",0,2,2,1,0,1
"188","AC109583.1",4,19,23,0.826086956521739,0.173913043478261,0.84
"189","AC112721.2",0,1,1,1,0,1
"190","AC126283.2",18,50,68,0.735294117647059,0.264705882352941,0.38
"191","AC127029.3",6,25,31,0.806451612903226,0.193548387096774,0.82
"192","AC131160.1",9,25,34,0.735294117647059,0.264705882352941,1
"193","AC132217.2",3,5,8,0.625,0.375,1
"194","AC134980.2",11,13,24,0.541666666666667,0.458333333333333,0.37
"195","AC136428.1",20,25,45,0.555555555555556,0.444444444444444,0.18
"196","AC139530.2",8,12,20,0.6,0.4,1
"197","AC144573.1",2,3,5,0.6,0.4,1
"198","AC231657.3",3,3,6,0.5,0.5,1
"199","AC242842.3",3,6,9,0.666666666666667,0.333333333333333,1
"200","AC244197.3",20,12,32,0.375,0.625,0.4
"201","AC244258.1",30,58,88,0.659090909090909,0.340909090909091,0.88
"202","AC245033.1",7,9,16,0.5625,0.4375,0.37
"203","AC245047.1",8,5,13,0.384615384615385,0.615384615384615,0.62
"204","AC245128.1",0,1,1,1,0,1
"205","AC245748.1",1,2,3,0.666666666666667,0.333333333333333,1
"206","AC245884.12",1,4,5,0.8,0.2,0.7
"207","AC253536.7",1,2,3,0.666666666666667,0.333333333333333,1
"208","ACAA1",8,22,30,0.733333333333333,0.266666666666667,0.75
"209","ACAA2",8,13,21,0.619047619047619,0.380952380952381,1
"210","ACACA",97,135,232,0.581896551724138,0.418103448275862,0.05
"211","ACACB",103,170,273,0.622710622710623,0.377289377289377,0.92
"212","ACAD10",38,56,94,0.595744680851064,0.404255319148936,0.48
"213","ACAD11",33,39,72,0.541666666666667,0.458333333333333,0.59
"214","ACAD8",15,16,31,0.516129032258065,0.483870967741935,0.61
"215","ACAD9",22,25,47,0.531914893617021,0.468085106382979,0.26
"216","ACADL",8,36,44,0.818181818181818,0.181818181818182,0.59
"217","ACADM",23,35,58,0.603448275862069,0.396551724137931,1
"218","ACADS",14,26,40,0.65,0.35,0.85
"219","ACADSB",15,20,35,0.571428571428571,0.428571428571429,0.58
"220","ACADVL",13,18,31,0.580645161290323,0.419354838709677,0.92
"221","ACAN",118,225,343,0.65597667638484,0.34402332361516,0.33
"222","ACAP1",38,32,70,0.457142857142857,0.542857142857143,0.29
"223","ACAP2",24,47,71,0.661971830985915,0.338028169014085,0.41
"224","ACAP3",12,37,49,0.755102040816326,0.244897959183673,0.85
"225","ACAT1",18,13,31,0.419354838709677,0.580645161290323,0.14
"226","ACAT2",10,17,27,0.62962962962963,0.37037037037037,1
"227","ACBD3",20,29,49,0.591836734693878,0.408163265306122,0.78
"228","ACBD4",8,17,25,0.68,0.32,0.6
"229","ACBD5",12,31,43,0.720930232558139,0.27906976744186,0.55
"230","ACBD6",5,15,20,0.75,0.25,0.94
"231","ACBD7",4,8,12,0.666666666666667,0.333333333333333,1
"232","ACCS",24,41,65,0.630769230769231,0.369230769230769,1
"233","ACCSL",30,44,74,0.594594594594595,0.405405405405405,0.13
"234","ACD",20,31,51,0.607843137254902,0.392156862745098,0.63
"235","ACE",51,93,144,0.645833333333333,0.354166666666667,0.57
"236","ACE2",45,26,71,0.366197183098592,0.633802816901408,0.6
"237","ACER1",15,29,44,0.659090909090909,0.340909090909091,0.7
"238","ACER2",7,18,25,0.72,0.28,0.61
"239","ACER3",2,16,18,0.888888888888889,0.111111111111111,0.87
"240","ACHE",25,37,62,0.596774193548387,0.403225806451613,0.67
"241","ACIN1",46,90,136,0.661764705882353,0.338235294117647,0.31
"242","ACKR1",25,46,71,0.647887323943662,0.352112676056338,1
"243","ACKR2",26,24,50,0.48,0.52,0.01
"244","ACKR3",19,39,58,0.672413793103448,0.327586206896552,0.89
"245","ACKR4",16,19,35,0.542857142857143,0.457142857142857,0.98
"246","ACLY",23,52,75,0.693333333333333,0.306666666666667,0.96
"247","ACMSD",19,36,55,0.654545454545455,0.345454545454545,0.68
"248","ACO1",30,40,70,0.571428571428571,0.428571428571429,0.58
"249","ACO2",21,29,50,0.58,0.42,0.68
"250","ACOD1",0,3,3,1,0,1
"251","ACOT1",2,13,15,0.866666666666667,0.133333333333333,0.72
"252","ACOT11",17,44,61,0.721311475409836,0.278688524590164,0.34
"253","ACOT12",24,51,75,0.68,0.32,0.23
"254","ACOT13",4,4,8,0.5,0.5,1
"255","ACOT2",9,15,24,0.625,0.375,1
"256","ACOT4",13,18,31,0.580645161290323,0.419354838709677,0.12
"257","ACOT6",3,15,18,0.833333333333333,0.166666666666667,1
"258","ACOT7",13,17,30,0.566666666666667,0.433333333333333,1
"259","ACOT8",9,19,28,0.678571428571429,0.321428571428571,0.77
"260","ACOT9",14,9,23,0.391304347826087,0.608695652173913,0.29
"261","ACOX1",16,35,51,0.686274509803922,0.313725490196078,0.95
"262","ACOX2",18,32,50,0.64,0.36,0.9
"263","ACOX3",31,48,79,0.607594936708861,0.392405063291139,0.89
"264","ACOXL",21,48,69,0.695652173913043,0.304347826086957,0.39
"265","ACP1",17,13,30,0.433333333333333,0.566666666666667,0.51
"266","ACP2",16,21,37,0.567567567567568,0.432432432432432,1
"267","ACP3",20,44,64,0.6875,0.3125,0.96
"268","ACP4",15,18,33,0.545454545454545,0.454545454545455,0.37
"269","ACP5",16,20,36,0.555555555555556,0.444444444444444,0.56
"270","ACP6",9,19,28,0.678571428571429,0.321428571428571,1
"271","ACP7",22,35,57,0.614035087719298,0.385964912280702,0.71
"272","ACR",13,14,27,0.518518518518518,0.481481481481481,0.37
"273","ACRBP",18,34,52,0.653846153846154,0.346153846153846,0.43
"274","ACRV1",10,14,24,0.583333333333333,0.416666666666667,0.36
"275","ACSBG1",42,59,101,0.584158415841584,0.415841584158416,0.52
"276","ACSBG2",29,48,77,0.623376623376623,0.376623376623377,0.94
"277","ACSF2",19,33,52,0.634615384615385,0.365384615384615,0.64
"278","ACSF3",16,33,49,0.673469387755102,0.326530612244898,0.19
"279","ACSL1",19,43,62,0.693548387096774,0.306451612903226,0.35
"280","ACSL3",33,27,60,0.45,0.55,0.01
"281","ACSL4",42,21,63,0.333333333333333,0.666666666666667,0.48
"282","ACSL5",33,39,72,0.541666666666667,0.458333333333333,0.27
"283","ACSL6",20,55,75,0.733333333333333,0.266666666666667,0.34
"284","ACSM1",42,69,111,0.621621621621622,0.378378378378378,1
"285","ACSM2A",56,112,168,0.666666666666667,0.333333333333333,0.83
"286","ACSM2B",51,127,178,0.713483146067416,0.286516853932584,0.78
"287","ACSM3",23,40,63,0.634920634920635,0.365079365079365,0.7
"288","ACSM4",34,81,115,0.704347826086957,0.295652173913043,0.68
"289","ACSM5",41,60,101,0.594059405940594,0.405940594059406,0.88
"290","ACSM6",5,16,21,0.761904761904762,0.238095238095238,0.41
"291","ACSS1",20,36,56,0.642857142857143,0.357142857142857,1
"292","ACSS2",24,32,56,0.571428571428571,0.428571428571429,0.32
"293","ACSS3",50,120,170,0.705882352941177,0.294117647058824,0.17
"294","ACTA1",23,36,59,0.610169491525424,0.389830508474576,1
"295","ACTA2",16,22,38,0.578947368421053,0.421052631578947,1
"296","ACTB",34,51,85,0.6,0.4,0.47
"297","ACTBL2",14,26,40,0.65,0.35,1
"298","ACTC1",29,54,83,0.650602409638554,0.349397590361446,0.91
"299","ACTG1",18,36,54,0.666666666666667,0.333333333333333,0.51
"300","ACTG2",28,40,68,0.588235294117647,0.411764705882353,0.38
"301","ACTL10",5,3,8,0.375,0.625,1
"302","ACTL6A",24,29,53,0.547169811320755,0.452830188679245,0.9
"303","ACTL6B",30,38,68,0.558823529411765,0.441176470588235,0.63
"304","ACTL7A",16,36,52,0.692307692307692,0.307692307692308,0.66
"305","ACTL7B",33,37,70,0.528571428571429,0.471428571428571,0.13
"306","ACTL8",23,43,66,0.651515151515151,0.348484848484849,0.62
"307","ACTL9",40,57,97,0.587628865979381,0.412371134020619,0.27
"308","ACTN1",34,42,76,0.552631578947368,0.447368421052632,0.57
"309","ACTN2",58,108,166,0.650602409638554,0.349397590361446,0.78
"310","ACTN3",26,49,75,0.653333333333333,0.346666666666667,0.58
"311","ACTN4",29,53,82,0.646341463414634,0.353658536585366,0.91
"312","ACTR10",14,20,34,0.588235294117647,0.411764705882353,0.58
"313","ACTR1A",15,15,30,0.5,0.5,0.23
"314","ACTR1B",12,25,37,0.675675675675676,0.324324324324324,0.93
"315","ACTR2",7,16,23,0.695652173913043,0.304347826086957,0.35
"316","ACTR3",15,12,27,0.444444444444444,0.555555555555556,0.09
"317","ACTR3B",15,27,42,0.642857142857143,0.357142857142857,0.63
"318","ACTR5",19,35,54,0.648148148148148,0.351851851851852,0.98
"319","ACTR6",8,28,36,0.777777777777778,0.222222222222222,1
"320","ACTR8",19,32,51,0.627450980392157,0.372549019607843,0.99
"321","ACTRT1",46,71,117,0.606837606837607,0.393162393162393,0.57
"322","ACTRT2",28,52,80,0.65,0.35,0.65
"323","ACTRT3",8,13,21,0.619047619047619,0.380952380952381,1
"324","ACVR1",15,31,46,0.673913043478261,0.326086956521739,0.54
"325","ACVR1B",45,57,102,0.558823529411765,0.441176470588235,0.12
"326","ACVR1C",32,36,68,0.529411764705882,0.470588235294118,0.43
"327","ACVR2A",110,111,221,0.502262443438914,0.497737556561086,0.6
"328","ACVR2B",25,26,51,0.509803921568627,0.490196078431373,0.08
"329","ACVRL1",25,45,70,0.642857142857143,0.357142857142857,0.92
"330","ACY1",0,2,2,1,0,1
"331","ACY3",14,19,33,0.575757575757576,0.424242424242424,1
"332","ACYP1",3,5,8,0.625,0.375,1
"333","ACYP2",2,5,7,0.714285714285714,0.285714285714286,1
"334","ADA",11,23,34,0.676470588235294,0.323529411764706,1
"335","ADA2",30,39,69,0.565217391304348,0.434782608695652,0.36
"336","ADAD1",58,77,135,0.57037037037037,0.42962962962963,0.1
"337","ADAD2",16,31,47,0.659574468085106,0.340425531914894,0.96
"338","ADAL",13,21,34,0.617647058823529,0.382352941176471,1
"339","ADAM10",26,53,79,0.670886075949367,0.329113924050633,0.16
"340","ADAM11",35,51,86,0.593023255813954,0.406976744186047,0.62
"341","ADAM12",42,80,122,0.655737704918033,0.344262295081967,0.21
"342","ADAM15",24,41,65,0.630769230769231,0.369230769230769,1
"343","ADAM17",30,37,67,0.552238805970149,0.447761194029851,0.11
"344","ADAM18",71,150,221,0.678733031674208,0.321266968325792,0.09
"345","ADAM19",45,84,129,0.651162790697674,0.348837209302326,0.91
"346","ADAM2",61,116,177,0.655367231638418,0.344632768361582,0.41
"347","ADAM20",16,56,72,0.777777777777778,0.222222222222222,0.34
"348","ADAM21",51,82,133,0.616541353383459,0.383458646616541,0.82
"349","ADAM22",50,103,153,0.673202614379085,0.326797385620915,0.02
"350","ADAM23",49,95,144,0.659722222222222,0.340277777777778,0.81
"351","ADAM28",47,111,158,0.70253164556962,0.29746835443038,0.05
"352","ADAM29",69,147,216,0.680555555555556,0.319444444444444,0.01
"353","ADAM30",37,81,118,0.686440677966102,0.313559322033898,0.26
"354","ADAM32",26,66,92,0.717391304347826,0.282608695652174,0.16
"355","ADAM33",27,52,79,0.658227848101266,0.341772151898734,1
"356","ADAM7",61,136,197,0.690355329949239,0.309644670050761,0.36
"357","ADAM8",20,32,52,0.615384615384615,0.384615384615385,1
"358","ADAM9",21,36,57,0.631578947368421,0.368421052631579,1
"359","ADAMDEC1",44,73,117,0.623931623931624,0.376068376068376,1
"360","ADAMTS1",46,55,101,0.544554455445545,0.455445544554455,1
"361","ADAMTS10",56,85,141,0.602836879432624,0.397163120567376,1
"362","ADAMTS12",189,273,462,0.590909090909091,0.409090909090909,1
"363","ADAMTS13",44,72,116,0.620689655172414,0.379310344827586,1
"364","ADAMTS14",50,98,148,0.662162162162162,0.337837837837838,1
"365","ADAMTS15",41,57,98,0.581632653061224,0.418367346938776,1
"366","ADAMTS16",116,191,307,0.622149837133551,0.37785016286645,1
"367","ADAMTS17",51,70,121,0.578512396694215,0.421487603305785,1
"368","ADAMTS18",108,222,330,0.672727272727273,0.327272727272727,1
"369","ADAMTS19",72,157,229,0.685589519650655,0.314410480349345,1
"370","ADAMTS2",87,134,221,0.606334841628959,0.393665158371041,1
"371","ADAMTS20",132,264,396,0.666666666666667,0.333333333333333,1
"372","ADAMTS3",71,117,188,0.622340425531915,0.377659574468085,1
"373","ADAMTS4",34,68,102,0.666666666666667,0.333333333333333,1
"374","ADAMTS5",63,111,174,0.637931034482759,0.362068965517241,1
"375","ADAMTS6",75,122,197,0.619289340101523,0.380710659898477,1
"376","ADAMTS7",69,86,155,0.554838709677419,0.445161290322581,1
"377","ADAMTS8",28,60,88,0.681818181818182,0.318181818181818,1
"378","ADAMTS9",84,162,246,0.658536585365854,0.341463414634146,1
"379","ADAMTSL1",78,125,203,0.61576354679803,0.38423645320197,1
"380","ADAMTSL2",40,50,90,0.555555555555556,0.444444444444444,1
"381","ADAMTSL3",85,183,268,0.682835820895522,0.317164179104478,1
"382","ADAMTSL4",49,56,105,0.533333333333333,0.466666666666667,1
"383","ADAMTSL5",13,22,35,0.628571428571429,0.371428571428571,1
"384","ADAP1",13,10,23,0.434782608695652,0.565217391304348,0.53
"385","ADAP2",10,25,35,0.714285714285714,0.285714285714286,0.95
"386","ADAR",37,66,103,0.640776699029126,0.359223300970874,0.77
"387","ADARB1",28,47,75,0.626666666666667,0.373333333333333,0.77
"388","ADARB2",27,73,100,0.73,0.27,0.77
"389","ADAT1",22,27,49,0.551020408163265,0.448979591836735,0.42
"390","ADAT2",4,13,17,0.764705882352941,0.235294117647059,0.74
"391","ADAT3",4,5,9,0.555555555555556,0.444444444444444,1
"392","ADCK1",34,38,72,0.527777777777778,0.472222222222222,0.04
"393","ADCK2",16,24,40,0.6,0.4,0.8
"394","ADCK5",17,16,33,0.484848484848485,0.515151515151515,1
"395","ADCY1",84,124,208,0.596153846153846,0.403846153846154,0.32
"396","ADCY10",98,120,218,0.55045871559633,0.44954128440367,0.08
"397","ADCY2",94,140,234,0.598290598290598,0.401709401709402,0.62
"398","ADCY3",35,58,93,0.623655913978495,0.376344086021505,1
"399","ADCY4",35,63,98,0.642857142857143,0.357142857142857,0.85
"400","ADCY5",68,98,166,0.590361445783133,0.409638554216867,0.91
"401","ADCY6",38,66,104,0.634615384615385,0.365384615384615,0.86
"402","ADCY7",45,52,97,0.536082474226804,0.463917525773196,0.42
"403","ADCY8",122,224,346,0.647398843930636,0.352601156069364,0.86
"404","ADCY9",38,74,112,0.660714285714286,0.339285714285714,0.93
"405","ADCYAP1",8,18,26,0.692307692307692,0.307692307692308,0.93
"406","ADCYAP1R1",39,70,109,0.642201834862385,0.357798165137615,0.63
"407","ADD1",23,38,61,0.622950819672131,0.377049180327869,1
"408","ADD2",44,89,133,0.669172932330827,0.330827067669173,0.76
"409","ADD3",51,52,103,0.504854368932039,0.495145631067961,0.01
"410","ADGB",1,14,15,0.933333333333333,0.0666666666666667,0.54
"411","ADGRA1",31,52,83,0.626506024096386,0.373493975903614,0.77
"412","ADGRA2",39,61,100,0.61,0.39,0.66
"413","ADGRA3",58,75,133,0.56390977443609,0.43609022556391,0.02
"414","ADGRB1",56,101,157,0.643312101910828,0.356687898089172,0.63
"415","ADGRB2",44,83,127,0.653543307086614,0.346456692913386,0.73
"416","ADGRB3",147,318,465,0.683870967741935,0.316129032258064,0.04
"417","ADGRD1",46,90,136,0.661764705882353,0.338235294117647,0.98
"418","ADGRD2",1,3,4,0.75,0.25,0.57
"419","ADGRE1",44,113,157,0.719745222929936,0.280254777070064,0.32
"420","ADGRE2",37,56,93,0.602150537634409,0.397849462365591,0.7
"421","ADGRE3",39,59,98,0.602040816326531,0.397959183673469,0.68
"422","ADGRE4P",8,27,35,0.771428571428571,0.228571428571429,0.64
"423","ADGRE5",27,46,73,0.63013698630137,0.36986301369863,0.92
