"","x"
"5750","FKBP1B"
"5751","FKBP1C"
"5752","FKBP2"
"5753","FKBP3"
"5754","FKBP4"
"5755","FKBP5"
"5756","FKBP6"
"5757","FKBP7"
"5758","FKBP8"
"5759","FKBP9"
"5760","FKBPL"
"5761","FKRP"
"5762","FKTN"
"5763","FLACC1"
"5764","FLAD1"
"5765","FLCN"
"5766","FLG"
"5767","FLG2"
"5768","FLI1"
"5769","FLII"
"5770","FLNA"
"5771","FLNB"
"5772","FLNC"
"5773","FLOT1"
"5774","FLOT2"
"5775","FLRT1"
"5776","FLRT2"
"5777","FLRT3"
"5778","FLT1"
"5779","FLT3"
"5780","FLT3LG"
"5781","FLT4"
"5782","FLVCR1"
"5783","FLVCR2"
"5784","FLYWCH1"
"5785","FLYWCH2"
"5786","FMC1"
"5787","FMC1-LUC7L2"
"5788","FMN1"
"5789","FMN2"
"5790","FMNL1"
"5791","FMNL2"
"5792","FMNL3"
"5793","FMO1"
"5794","FMO2"
"5795","FMO3"
"5796","FMO4"
"5797","FMO5"
"5798","FMO6P"
"5799","FMOD"
"5800","FMR1"
"5801","FMR1NB"
"5802","FN1"
"5803","FN3K"
"5804","FN3KRP"
"5805","FNBP1"
"5806","FNBP1L"
"5807","FNBP4"
"5808","FNDC1"
"5809","FNDC11"
"5810","FNDC3A"
"5811","FNDC3B"
"5812","FNDC4"
"5813","FNDC5"
"5814","FNDC7"
"5815","FNDC8"
"5816","FNIP1"
"5817","FNIP2"
"5818","FNTA"
"5819","FNTB"
"5820","FO393400.1"
"5821","FOCAD"
"5822","FOLH1"
"5823","FOLH1B"
"5824","FOLR1"
"5825","FOLR2"
"5826","FOLR3"
"5827","FOS"
"5828","FOSB"
"5829","FOSL1"
"5830","FOSL2"
"5831","FOXA1"
"5832","FOXA2"
"5833","FOXA3"
"5834","FOXB1"
"5835","FOXB2"
"5836","FOXC1"
"5837","FOXC2"
"5838","FOXD1"
"5839","FOXD2"
"5840","FOXD3"
"5841","FOXD4"
"5842","FOXD4L1"
"5843","FOXD4L3"
"5844","FOXD4L4"
"5845","FOXD4L5"
"5846","FOXD4L6"
"5847","FOXE1"
"5848","FOXE3"
"5849","FOXF1"
"5850","FOXF2"
"5851","FOXG1"
"5852","FOXH1"
"5853","FOXI1"
"5854","FOXI2"
"5855","FOXI3"
"5856","FOXJ1"
"5857","FOXJ2"
"5858","FOXJ3"
"5859","FOXK1"
"5860","FOXK2"
"5861","FOXL1"
"5862","FOXL2"
"5863","FOXL2NB"
"5864","FOXM1"
"5865","FOXN1"
"5866","FOXN2"
"5867","FOXN3"
"5868","FOXN4"
"5869","FOXO1"
"5870","FOXO3"
"5871","FOXO4"
"5872","FOXP1"
"5873","FOXP2"
"5874","FOXP3"
"5875","FOXP4"
"5876","FOXQ1"
"5877","FOXR1"
"5878","FOXR2"
"5879","FOXRED1"
"5880","FOXRED2"
"5881","FOXS1"
"5882","FPGS"
"5883","FPGT"
"5884","FPGT-TNNI3K"
"5885","FPR1"
"5886","FPR2"
"5887","FPR3"
"5888","FRA10AC1"
"5889","FRAS1"
"5890","FRAT1"
"5891","FREM1"
"5892","FREM2"
"5893","FRG1"
"5894","FRG1BP"
"5895","FRG2"
"5896","FRG2B"
"5897","FRG2C"
"5898","FRK"
"5899","FRMD1"
"5900","FRMD3"
"5901","FRMD4A"
"5902","FRMD4B"
"5903","FRMD5"
"5904","FRMD6"
"5905","FRMD7"
"5906","FRMD8"
"5907","FRMPD1"
"5908","FRMPD2"
"5909","FRMPD2B"
"5910","FRMPD3"
"5911","FRMPD4"
"5912","FRRS1"
"5913","FRRS1L"
"5914","FRS2"
"5915","FRS3"
"5916","FRY"
"5917","FRYL"
"5918","FRZB"
"5919","FSCB"
"5920","FSCN1"
"5921","FSCN2"
"5922","FSCN3"
"5923","FSD1"
"5924","FSD1L"
"5925","FSD2"
"5926","FSHB"
"5927","FSHR"
"5928","FSIP1"
"5929","FSIP2"
"5930","FST"
"5931","FSTL1"
"5932","FSTL3"
"5933","FSTL4"
"5934","FSTL5"
"5935","FTCD"
"5936","FTH1"
"5937","FTHL17"
"5938","FTL"
"5939","FTMT"
"5940","FTO"
"5941","FTSJ1"
"5942","FTSJ3"
"5943","FUBP1"
"5944","FUBP3"
"5945","FUCA1"
"5946","FUCA2"
"5947","FUNDC1"
"5948","FUNDC2"
"5949","FUOM"
"5950","FURIN"
"5951","FUS"
"5952","FUT1"
"5953","FUT10"
"5954","FUT11"
"5955","FUT2"
"5956","FUT3"
"5957","FUT4"
"5958","FUT5"
"5959","FUT6"
"5960","FUT7"
"5961","FUT8"
"5962","FUT9"
"5963","FUZ"
"5964","FXN"
"5965","FXR1"
"5966","FXR2"
"5967","FXYD1"
"5968","FXYD2"
"5969","FXYD4"
"5970","FXYD5"
"5971","FXYD6"
"5972","FXYD6P3"
"5973","FXYD7"
"5974","FYB1"
"5975","FYB2"
"5976","FYCO1"
"5977","FYN"
"5978","FYTTD1"
"5979","FZD1"
"5980","FZD10"
"5981","FZD2"
"5982","FZD3"
"5983","FZD4"
"5984","FZD5"
"5985","FZD6"
"5986","FZD7"
"5987","FZD8"
"5988","FZD9"
"5989","FZR1"
"5990","G0S2"
"5991","G2E3"
"5992","G3BP1"
"5993","G3BP2"
"5994","G6PC"
"5995","G6PC2"
"5996","G6PC3"
"5997","G6PD"
"5998","GAA"
"5999","GAB1"
"6000","GAB2"
"6001","GAB3"
"6002","GAB4"
"6003","GABARAP"
"6004","GABARAPL1"
"6005","GABARAPL2"
"6006","GABBR1"
"6007","GABBR2"
"6008","GABPA"
"6009","GABPB1"
"6010","GABPB2"
"6011","GABRA1"
"6012","GABRA2"
"6013","GABRA3"
"6014","GABRA4"
"6015","GABRA5"
"6016","GABRA6"
"6017","GABRB1"
"6018","GABRB2"
"6019","GABRB3"
"6020","GABRD"
"6021","GABRE"
"6022","GABRG1"
"6023","GABRG2"
"6024","GABRG3"
"6025","GABRP"
"6026","GABRQ"
"6027","GABRR1"
"6028","GABRR2"
"6029","GABRR3"
"6030","GAD1"
"6031","GAD2"
"6032","GADD45A"
"6033","GADD45B"
"6034","GADD45G"
"6035","GADD45GIP1"
"6036","GADL1"
"6037","GAGE1"
"6038","GAGE10"
"6039","GAGE12H"
"6040","GAGE12J"
"6041","GAGE2A"
"6042","GAGE2E"
"6043","GAK"
"6044","GAL"
"6045","GAL3ST1"
"6046","GAL3ST2"
"6047","GAL3ST3"
"6048","GAL3ST4"
"6049","GALC"
"6050","GALE"
"6051","GALK1"
"6052","GALK2"
"6053","GALM"
"6054","GALNS"
"6055","GALNT1"
"6056","GALNT10"
"6057","GALNT11"
"6058","GALNT12"
"6059","GALNT13"
"6060","GALNT14"
"6061","GALNT15"
"6062","GALNT16"
"6063","GALNT17"
"6064","GALNT18"
"6065","GALNT2"
"6066","GALNT3"
"6067","GALNT4"
"6068","GALNT5"
"6069","GALNT6"
"6070","GALNT7"
"6071","GALNT8"
"6072","GALNT9"
"6073","GALNTL5"
"6074","GALNTL6"
"6075","GALP"
"6076","GALR1"
"6077","GALR2"
"6078","GALR3"
"6079","GALT"
"6080","GAMT"
"6081","GAN"
"6082","GANAB"
"6083","GANC"
"6084","GAP43"
"6085","GAPDH"
"6086","GAPDHS"
"6087","GAPT"
"6088","GAPVD1"
"6089","GAR1"
"6090","GAREM1"
"6091","GAREM2"
"6092","GARNL3"
"6093","GARRE1"
"6094","GARS1"
"6095","GART"
"6096","GAS1"
"6097","GAS2"
"6098","GAS2L1"
"6099","GAS2L2"
"6100","GAS2L3"
"6101","GAS6"
"6102","GAS7"
"6103","GAS8"
"6104","GASK1A"
"6105","GASK1B"
"6106","GAST"
"6107","GATA1"
"6108","GATA2"
"6109","GATA3"
"6110","GATA4"
"6111","GATA5"
"6112","GATA6"
"6113","GATAD1"
"6114","GATAD2A"
"6115","GATAD2B"
"6116","GATB"
"6117","GATC"
"6118","GATD1"
"6119","GATM"
"6120","GBA"
"6121","GBA2"
"6122","GBA3"
"6123","GBE1"
"6124","GBF1"
"6125","GBGT1"
"6126","GBP1"
"6127","GBP2"
"6128","GBP3"
"6129","GBP4"
"6130","GBP5"
"6131","GBP6"
"6132","GBP7"
"6133","GBX1"
"6134","GBX2"
"6135","GC"
"6136","GCA"
"6137","GCAT"
"6138","GCC1"
"6139","GCC2"
"6140","GCDH"
"6141","GCFC2"
"6142","GCG"
"6143","GCH1"
"6144","GCHFR"
"6145","GCK"
"6146","GCKR"
"6147","GCLC"
"6148","GCLM"
"6149","GCM1"
"6150","GCM2"
"6151","GCN1"
"6152","GCNA"
"6153","GCNT1"
"6154","GCNT2"
"6155","GCNT3"
"6156","GCNT4"
"6157","GCNT7"
"6158","GCOM1"
"6159","GCSAM"
"6160","GCSAML"
"6161","GCSH"
"6162","GDA"
"6163","GDAP1"
"6164","GDAP1L1"
"6165","GDAP2"
"6166","GDE1"
"6167","GDF1"
"6168","GDF10"
"6169","GDF11"
"6170","GDF15"
"6171","GDF2"
"6172","GDF3"
"6173","GDF5"
"6174","GDF6"
"6175","GDF7"
"6176","GDF9"
"6177","GDI1"
"6178","GDI2"
"6179","GDNF"
"6180","GDPD1"
"6181","GDPD2"
"6182","GDPD3"
"6183","GDPD4"
"6184","GDPD5"
"6185","GDPGP1"
"6186","GEM"
"6187","GEMIN2"
"6188","GEMIN4"
"6189","GEMIN5"
"6190","GEMIN6"
"6191","GEMIN7"
"6192","GEMIN8"
"6193","GEN1"
"6194","GET1"
"6195","GET1-SH3BGR"
"6196","GET3"
"6197","GET4"
"6198","GFAP"
"6199","GFER"
"6200","GFI1"
"6201","GFI1B"
"6202","GFM1"
"6203","GFM2"
"6204","GFOD1"
"6205","GFOD2"
"6206","GFPT1"
"6207","GFPT2"
"6208","GFRA1"
"6209","GFRA2"
"6210","GFRA3"
"6211","GFRA4"
"6212","GFRAL"
"6213","GFUS"
"6214","GGA1"
"6215","GGA2"
"6216","GGA3"
"6217","GGCT"
"6218","GGCX"
"6219","GGH"
"6220","GGN"
"6221","GGNBP2"
"6222","GGPS1"
"6223","GGT1"
"6224","GGT5"
"6225","GGT6"
"6226","GGT7"
"6227","GGTLC1"
"6228","GGTLC2"
"6229","GH2"
"6230","GHDC"
"6231","GHITM"
"6232","GHR"
"6233","GHRH"
"6234","GHRHR"
"6235","GHRL"
"6236","GHSR"
"6237","GID4"
"6238","GID8"
"6239","GIGYF1"
"6240","GIGYF2"
"6241","GIMAP1"
"6242","GIMAP1-GIMAP5"
"6243","GIMAP2"
"6244","GIMAP4"
"6245","GIMAP5"
"6246","GIMAP6"
"6247","GIMAP7"
"6248","GIMAP8"
"6249","GIN1"
"6250","GINM1"
"6251","GINS1"
"6252","GINS2"
"6253","GINS3"
"6254","GINS4"
"6255","GIP"
"6256","GIPC1"
"6257","GIPC2"
"6258","GIPC3"
"6259","GIPR"
"6260","GIT1"
"6261","GIT2"
"6262","GJA1"
"6263","GJA10"
"6264","GJA3"
"6265","GJA4"
"6266","GJA5"
"6267","GJA8"
"6268","GJA9"
"6269","GJB1"
"6270","GJB2"
"6271","GJB3"
"6272","GJB4"
"6273","GJB5"
"6274","GJB6"
"6275","GJB7"
"6276","GJC1"
"6277","GJC2"
"6278","GJC3"
"6279","GJD2"
"6280","GJD3"
"6281","GJD4"
"6282","GK"
"6283","GK2"
"6284","GK5"
"6285","GKAP1"
"6286","GKN1"
"6287","GKN2"
"6288","GLA"
"6289","GLB1"
"6290","GLB1L"
"6291","GLB1L2"
"6292","GLB1L3"
"6293","GLCCI1"
"6294","GLCE"
"6295","GLDC"
"6296","GLDN"
"6297","GLE1"
"6298","GLG1"
"6299","GLI1"
"6300","GLI2"
"6301","GLI3"
"6302","GLI4"
"6303","GLIPR1"
"6304","GLIPR1L1"
"6305","GLIPR1L2"
"6306","GLIPR2"
"6307","GLIS1"
"6308","GLIS2"
"6309","GLIS3"
"6310","GLMN"
"6311","GLMP"
"6312","GLO1"
"6313","GLOD4"
"6314","GLOD5"
"6315","GLP1R"
"6316","GLP2R"
"6317","GLRA1"
"6318","GLRA2"
"6319","GLRA3"
"6320","GLRA4"
"6321","GLRB"
"6322","GLRX"
"6323","GLRX2"
"6324","GLRX3"
"6325","GLRX5"
"6326","GLRXP3"
"6327","GLS"
"6328","GLS2"
"6329","GLT1D1"
"6330","GLT6D1"
"6331","GLT8D1"
"6332","GLT8D2"
"6333","GLTP"
"6334","GLTPD2"
"6335","GLUD1"
"6336","GLUD1P3"
"6337","GLUD2"
"6338","GLUL"
"6339","GLYAT"
"6340","GLYATL1"
"6341","GLYATL2"
"6342","GLYATL3"
"6343","GLYCTK"
"6344","GLYR1"
"6345","GM2A"
"6346","GMCL1"
"6347","GMDS"
"6348","GMEB1"
"6349","GMEB2"
"6350","GMFB"
"6351","GMFG"
"6352","GMIP"
"6353","GML"
"6354","GMNN"
"6355","GMPPA"
"6356","GMPPB"
"6357","GMPR"
"6358","GMPR2"
"6359","GMPS"
"6360","GNA11"
"6361","GNA12"
"6362","GNA13"
"6363","GNA14"
"6364","GNA15"
"6365","GNAI1"
"6366","GNAI2"
"6367","GNAI3"
"6368","GNAL"
"6369","GNAO1"
"6370","GNAQ"
"6371","GNAS"
"6372","GNAT1"
"6373","GNAT2"
"6374","GNAT3"
"6375","GNAZ"
"6376","GNB1"
"6377","GNB1L"
"6378","GNB2"
"6379","GNB3"
"6380","GNB4"
"6381","GNB5"
"6382","GNE"
"6383","GNG10"
"6384","GNG11"
"6385","GNG12"
"6386","GNG13"
"6387","GNG2"
"6388","GNG3"
"6389","GNG4"
"6390","GNG5"
"6391","GNG5P2"
"6392","GNG7"
"6393","GNG8"
"6394","GNGT1"
"6395","GNGT2"
"6396","GNL1"
"6397","GNL2"
"6398","GNL3"
"6399","GNL3L"
"6400","GNLY"
"6401","GNMT"
"6402","GNPAT"
"6403","GNPDA1"
"6404","GNPDA2"
"6405","GNPNAT1"
"6406","GNPTAB"
"6407","GNPTG"
"6408","GNRH1"
"6409","GNRH2"
"6410","GNRHR"
"6411","GNS"
"6412","GOLGA1"
"6413","GOLGA2"
"6414","GOLGA3"
"6415","GOLGA4"
"6416","GOLGA5"
"6417","GOLGA6A"
"6418","GOLGA6B"
"6419","GOLGA6L22"
"6420","GOLGA6L9"
"6421","GOLGA7"
"6422","GOLGA7B"
"6423","GOLGA8A"
"6424","GOLGA8G"
"6425","GOLGB1"
"6426","GOLIM4"
"6427","GOLM1"
"6428","GOLM2"
"6429","GOLPH3"
"6430","GOLPH3L"
"6431","GOLT1A"
"6432","GOLT1B"
"6433","GON4L"
"6434","GON7"
"6435","GOPC"
"6436","GORAB"
"6437","GORASP1"
"6438","GORASP2"
"6439","GOSR1"
"6440","GOSR2"
"6441","GOT1"
"6442","GOT1L1"
"6443","GOT2"
"6444","GP1BA"
"6445","GP1BB"
"6446","GP2"
"6447","GP5"
"6448","GP6"
"6449","GP9"
"6450","GPA33"
"6451","GPAA1"
"6452","GPALPP1"
"6453","GPAM"
"6454","GPANK1"
"6455","GPAT2"
"6456","GPAT3"
"6457","GPAT4"
"6458","GPATCH1"
"6459","GPATCH11"
"6460","GPATCH2"
"6461","GPATCH2L"
"6462","GPATCH3"
"6463","GPATCH4"
"6464","GPATCH8"
"6465","GPBAR1"
"6466","GPBP1"
"6467","GPBP1L1"
"6468","GPC1"
"6469","GPC2"
"6470","GPC3"
"6471","GPC4"
"6472","GPC5"
"6473","GPC6"
"6474","GPCPD1"
"6475","GPD1"
"6476","GPD1L"
"6477","GPD2"
"6478","GPER1"
"6479","GPHA2"
"6480","GPHB5"
"6481","GPHN"
"6482","GPI"
"6483","GPIHBP1"
"6484","GPKOW"
"6485","GPLD1"
"6486","GPM6A"
"6487","GPM6B"
"6488","GPN1"
"6489","GPN2"
"6490","GPN3"
"6491","GPNMB"
"6492","GPR1"
"6493","GPR101"
"6494","GPR107"
"6495","GPR108"
"6496","GPR119"
"6497","GPR12"
"6498","GPR132"
"6499","GPR135"
"6500","GPR137"
"6501","GPR137B"
"6502","GPR137C"
"6503","GPR139"
"6504","GPR141"
"6505","GPR142"
"6506","GPR143"
"6507","GPR146"
"6508","GPR148"
"6509","GPR149"
"6510","GPR15"
"6511","GPR150"
"6512","GPR151"
"6513","GPR152"
"6514","GPR153"
"6515","GPR155"
"6516","GPR156"
"6517","GPR157"
"6518","GPR158"
"6519","GPR160"
"6520","GPR161"
"6521","GPR162"
"6522","GPR17"
"6523","GPR171"
"6524","GPR173"
"6525","GPR174"
"6526","GPR176"
"6527","GPR179"
"6528","GPR18"
"6529","GPR180"
"6530","GPR182"
"6531","GPR183"
"6532","GPR19"
"6533","GPR20"
"6534","GPR21"
"6535","GPR22"
"6536","GPR25"
"6537","GPR26"
"6538","GPR27"
"6539","GPR3"
"6540","GPR31"
"6541","GPR32"
"6542","GPR34"
"6543","GPR35"
"6544","GPR37"
"6545","GPR37L1"
"6546","GPR39"
"6547","GPR4"
"6548","GPR42"
"6549","GPR45"
"6550","GPR50"
"6551","GPR52"
"6552","GPR55"
"6553","GPR6"
"6554","GPR61"
"6555","GPR62"
"6556","GPR63"
"6557","GPR65"
"6558","GPR68"
"6559","GPR75"
"6560","GPR78"
"6561","GPR82"
"6562","GPR83"
"6563","GPR84"
"6564","GPR85"
"6565","GPR87"
"6566","GPR88"
"6567","GPR89A"
"6568","GPR89B"
"6569","GPRASP1"
"6570","GPRASP2"
"6571","GPRC5A"
"6572","GPRC5B"
"6573","GPRC5C"
"6574","GPRC5D"
"6575","GPRC6A"
"6576","GPRIN1"
"6577","GPRIN2"
"6578","GPRIN3"
"6579","GPS1"
"6580","GPS2"
"6581","GPSM1"
"6582","GPSM2"
"6583","GPSM3"
"6584","GPT"
"6585","GPT2"
"6586","GPX1"
"6587","GPX2"
"6588","GPX3"
"6589","GPX4"
"6590","GPX5"
"6591","GPX6"
"6592","GPX7"
"6593","GPX8"
"6594","GRAMD1A"
"6595","GRAMD1B"
"6596","GRAMD1C"
"6597","GRAMD2A"
"6598","GRAMD2B"
"6599","GRAMD4"
"6600","GRAP"
"6601","GRAP2"
"6602","GRB10"
"6603","GRB14"
"6604","GRB2"
"6605","GRB7"
"6606","GREB1"
"6607","GREB1L"
"6608","GREM1"
"6609","GREM2"
"6610","GRHL1"
"6611","GRHL2"
"6612","GRHL3"
"6613","GRHPR"
"6614","GRIA1"
"6615","GRIA2"
"6616","GRIA3"
"6617","GRIA4"
"6618","GRID1"
"6619","GRID2"
"6620","GRID2IP"
"6621","GRIFIN"
"6622","GRIK1"
"6623","GRIK2"
"6624","GRIK3"
"6625","GRIK4"
"6626","GRIK5"
"6627","GRIN1"
"6628","GRIN2A"
"6629","GRIN2B"
"6630","GRIN2C"
"6631","GRIN2D"
"6632","GRIN3A"
"6633","GRIN3B"
"6634","GRINA"
"6635","GRIP1"
"6636","GRIP2"
"6637","GRIPAP1"
"6638","GRK1"
"6639","GRK2"
"6640","GRK3"
"6641","GRK4"
"6642","GRK5"
"6643","GRK6"
"6644","GRK7"
"6645","GRM1"
"6646","GRM2"
"6647","GRM3"
"6648","GRM4"
"6649","GRM5"
"6650","GRM6"
"6651","GRM7"
"6652","GRM8"
"6653","GRN"
"6654","GRP"
"6655","GRPEL1"
"6656","GRPEL2"
"6657","GRPR"
"6658","GRSF1"
"6659","GRTP1"
"6660","GRWD1"
"6661","GRXCR1"
"6662","GRXCR2"
"6663","GSAP"
"6664","GSC"
"6665","GSC2"
"6666","GSDMA"
"6667","GSDMB"
"6668","GSDMC"
"6669","GSDMD"
"6670","GSDME"
"6671","GSE1"
"6672","GSG1"
"6673","GSG1L"
"6674","GSK3A"
"6675","GSK3B"
"6676","GSKIP"
"6677","GSN"
"6678","GSN-AS1"
"6679","GSPT1"
"6680","GSPT2"
"6681","GSR"
"6682","GSS"
"6683","GSTA1"
"6684","GSTA2"
"6685","GSTA3"
"6686","GSTA4"
"6687","GSTA5"
"6688","GSTCD"
"6689","GSTK1"
"6690","GSTM1"
"6691","GSTM2"
"6692","GSTM3"
"6693","GSTM4"
"6694","GSTM5"
"6695","GSTO1"
"6696","GSTO2"
"6697","GSTP1"
"6698","GSTT2"
"6699","GSTT2B"
"6700","GSTZ1"
"6701","GSX1"
"6702","GSX2"
"6703","GTDC1"
"6704","GTF2A1"
"6705","GTF2A1L"
"6706","GTF2A2"
"6707","GTF2B"
"6708","GTF2E1"
"6709","GTF2E2"
"6710","GTF2F1"
"6711","GTF2F2"
"6712","GTF2H1"
"6713","GTF2H2"
"6714","GTF2H2B"
"6715","GTF2H2C"
"6716","GTF2H3"
"6717","GTF2H4"
"6718","GTF2H5"
"6719","GTF2I"
"6720","GTF2IP3"
"6721","GTF2IRD1"
"6722","GTF2IRD2"
"6723","GTF2IRD2B"
"6724","GTF3A"
"6725","GTF3C1"
"6726","GTF3C2"
"6727","GTF3C3"
"6728","GTF3C4"
"6729","GTF3C5"
"6730","GTF3C6"
"6731","GTPBP1"
"6732","GTPBP10"
"6733","GTPBP2"
"6734","GTPBP3"
"6735","GTPBP4"
"6736","GTPBP6"
"6737","GTPBP8"
"6738","GTSE1"
"6739","GTSF1"
"6740","GTSF1L"
"6741","GUCA1A"
"6742","GUCA1B"
"6743","GUCA1C"
"6744","GUCA2A"
"6745","GUCA2B"
"6746","GUCD1"
"6747","GUCY1A1"
"6748","GUCY1A2"
"6749","GUCY1B1"
"6750","GUCY1B2"
"6751","GUCY2C"
"6752","GUCY2D"
"6753","GUCY2F"
"6754","GUF1"
"6755","GUK1"
"6756","GULP1"
"6757","GUSB"
"6758","GXYLT1"
"6759","GXYLT2"
"6760","GYG1"
"6761","GYG2"
"6762","GYG2P1"
"6763","GYPA"
"6764","GYPB"
"6765","GYPC"
"6766","GYPE"
"6767","GYS1"
"6768","GYS2"
"6769","GZF1"
"6770","GZMA"
"6771","GZMB"
"6772","GZMH"
"6773","GZMK"
"6774","GZMM"
"6775","H1-0"
"6776","H1-1"
"6777","H1-10"
"6778","H1-2"
"6779","H1-3"
"6780","H1-4"
"6781","H1-5"
"6782","H1-6"
"6783","H1-7"
"6784","H1-8"
"6785","H2AB1"
"6786","H2AC1"
"6787","H2AC11"
"6788","H2AC12"
"6789","H2AC13"
"6790","H2AC14"
"6791","H2AC15"
"6792","H2AC16"
"6793","H2AC17"
"6794","H2AC20"
"6795","H2AC21"
"6796","H2AC4"
"6797","H2AC6"
"6798","H2AC8"
"6799","H2AJ"
"6800","H2AP"
"6801","H2AW"
"6802","H2AX"
"6803","H2AZ1"
"6804","H2AZ2"
"6805","H2BC1"
"6806","H2BC10"
"6807","H2BC11"
"6808","H2BC12"
"6809","H2BC13"
"6810","H2BC14"
"6811","H2BC15"
"6812","H2BC17"
"6813","H2BC18"
"6814","H2BC21"
"6815","H2BC3"
"6816","H2BC4"
"6817","H2BC5"
"6818","H2BC6"
"6819","H2BC7"
"6820","H2BC8"
"6821","H2BC9"
"6822","H2BE1"
"6823","H2BU1"
"6824","H2BW1"
"6825","H2BW2"
"6826","H3-2"
"6827","H3-3A"
"6828","H3-3B"
"6829","H3-4"
"6830","H3-5"
"6831","H3C1"
"6832","H3C10"
"6833","H3C11"
"6834","H3C12"
"6835","H3C13"
"6836","H3C2"
"6837","H3C3"
"6838","H3C4"
"6839","H3C6"
"6840","H3C7"
"6841","H3C8"
"6842","H4-16"
"6843","H4C1"
"6844","H4C11"
"6845","H4C12"
"6846","H4C13"
"6847","H4C2"
"6848","H4C3"
"6849","H4C4"
"6850","H4C5"
"6851","H4C6"
"6852","H4C7"
"6853","H4C8"
"6854","H4C9"
"6855","H6PD"
"6856","HAAO"
"6857","HABP2"
"6858","HABP4"
"6859","HACD1"
"6860","HACD2"
"6861","HACD3"
"6862","HACD4"
"6863","HACE1"
"6864","HACL1"
"6865","HADH"
"6866","HADHA"
"6867","HADHB"
"6868","HAGH"
"6869","HAGHL"
"6870","HAL"
"6871","HAMP"
"6872","HAND1"
"6873","HAND2"
"6874","HAO1"
"6875","HAO2"
"6876","HAP1"
"6877","HAPLN1"
"6878","HAPLN2"
"6879","HAPLN3"
"6880","HAPLN4"
"6881","HARBI1"
"6882","HARS1"
"6883","HARS2"
"6884","HAS1"
"6885","HAS2"
"6886","HAS3"
"6887","HASPIN"
"6888","HAT1"
"6889","HAUS1"
"6890","HAUS2"
"6891","HAUS3"
"6892","HAUS4"
"6893","HAUS5"
"6894","HAUS6"
"6895","HAUS7"
"6896","HAUS8"
"6897","HAVCR1"
"6898","HAVCR2"
"6899","HAX1"
"6900","HBA1"
"6901","HBA2"
"6902","HBB"
"6903","HBD"
"6904","HBE1"
"6905","HBEGF"
"6906","HBG1"
"6907","HBG2"
"6908","HBM"
"6909","HBP1"
"6910","HBQ1"
"6911","HBS1L"
"6912","HBZ"
"6913","HCAR1"
"6914","HCAR2"
"6915","HCAR3"
"6916","HCCS"
"6917","HCFC1"
"6918","HCFC1R1"
"6919","HCFC2"
"6920","HCG27"
"6921","HCK"
"6922","HCLS1"
"6923","HCN1"
"6924","HCN2"
"6925","HCN3"
"6926","HCN4"
"6927","HCRT"
"6928","HCRTR1"
"6929","HCRTR2"
"6930","HCST"
"6931","HDAC1"
"6932","HDAC10"
"6933","HDAC11"
"6934","HDAC2"
"6935","HDAC3"
"6936","HDAC4"
"6937","HDAC5"
"6938","HDAC6"
"6939","HDAC7"
"6940","HDAC8"
"6941","HDAC9"
"6942","HDC"
"6943","HDDC2"
"6944","HDDC3"
"6945","HDGF"
"6946","HDGFL1"
"6947","HDGFL2"
"6948","HDGFL3"
"6949","HDHD2"
"6950","HDHD3"
"6951","HDHD5"
"6952","HDLBP"
"6953","HDX"
"6954","HEATR1"
"6955","HEATR3"
"6956","HEATR4"
"6957","HEATR5A"
"6958","HEATR5B"
"6959","HEATR6"
"6960","HEATR9"
"6961","HEBP1"
"6962","HEBP2"
"6963","HECA"
"6964","HECTD1"
"6965","HECTD2"
"6966","HECTD3"
"6967","HECTD4"
"6968","HECW1"
"6969","HECW2"
"6970","HEG1"
"6971","HELB"
"6972","HELLPAR"
"6973","HELLS"
"6974","HELQ"
"6975","HELT"
"6976","HELZ"
"6977","HELZ2"
"6978","HEMGN"
"6979","HEMK1"
"6980","HENMT1"
"6981","HEPACAM"
"6982","HEPACAM2"
"6983","HEPH"
"6984","HEPHL1"
"6985","HEPN1"
"6986","HERC1"
"6987","HERC2"
"6988","HERC2P3"
"6989","HERC3"
"6990","HERC4"
"6991","HERC5"
"6992","HERC6"
"6993","HERPUD1"
"6994","HERPUD2"
"6995","HES1"
"6996","HES2"
"6997","HES3"
"6998","HES4"
"6999","HES5"
"7000","HES6"
"7001","HES7"
"7002","HESX1"
"7003","HEXA"
"7004","HEXB"
"7005","HEXD"
"7006","HEXIM1"
"7007","HEXIM2"
"7008","HEY1"
"7009","HEY2"
"7010","HEYL"
"7011","HFE"
"7012","HFM1"
"7013","HGD"
"7014","HGF"
"7015","HGFAC"
"7016","HGH1"
"7017","HGS"
"7018","HGSNAT"
"7019","HHAT"
"7020","HHATL"
"7021","HHEX"
"7022","HHIP"
"7023","HHIPL1"
"7024","HHIPL2"
"7025","HHLA1"
"7026","HHLA2"
"7027","HHLA3"
"7028","HIBADH"
"7029","HIBCH"
"7030","HIC1"
"7031","HIC2"
"7032","HID1"
"7033","HIF1A"
"7034","HIF1AN"
"7035","HIF3A"
"7036","HIGD1A"
"7037","HIGD1B"
"7038","HIGD1C"
"7039","HIGD2A"
"7040","HIKESHI"
"7041","HILPDA"
"7042","HINFP"
"7043","HINT1"
"7044","HINT2"
"7045","HINT3"
"7046","HIP1"
"7047","HIP1R"
"7048","HIPK1"
"7049","HIPK2"
"7050","HIPK3"
"7051","HIPK4"
"7052","HIRA"
"7053","HIRIP3"
"7054","HIVEP1"
"7055","HIVEP2"
